configuration,ap50,ap50_95,precision,recall,status
No JCA (CA only),,,,,AP50 unfilled (degenerate compact detector); architecture still implemented
No MRDL (omega=0),,,,,AP50 unfilled (degenerate compact detector); architecture still implemented
ResNet without ImageNet pretraining,,,,,AP50 unfilled (degenerate compact detector); architecture still implemented
Unfiltered candidate pool,,,,,AP50 unfilled (degenerate compact detector); architecture still implemented
Full FireSmokeGenNet,,,,,AP50 unfilled (degenerate compact detector); architecture still implemented
