shift,real_ap50,real_recall,mixed_ap50,mixed_recall,status
Summer to Winter,,,,,Not executed: FLAME2 / HPWREN / SMOKE5K registered sources were not downloaded in this public-data run
Day to Dusk,,,,,Not executed: FLAME2 / HPWREN / SMOKE5K registered sources were not downloaded in this public-data run
Clear to Haze/Fog,,,,,Not executed: FLAME2 / HPWREN / SMOKE5K registered sources were not downloaded in this public-data run
